GRUPPE1	GRUPPE2	GRUPPE3	HERSTELLER	ARTIKEL_NR	HSTNUMMER	ARTIKEL1	ARTIKEL2	FVERSION	FSYSTEM	FSPRACHE	FFORMAT	FBUS	FGARANTIE	EVP	EK	AKTIONPR	AKTBIS	AKTION	VerfuegbarKZ	Vmenge	VDatum	VEta	Nachfolger	DATENBLATT1	BILD1	ERFDAT	EANCode	UPCCode	Hoehe	Breite	Laenge	Gewicht	Rang	Stck_Kart	Stck_Pal	Storno	ECLass	UNSPC	INTRASTAT	CatalogID	Auslieferungslager
Zubehör	Server	Prozessoren (Intel - Six-Core)	Fujitsu Technology Solutions	07701E3	S26361-F4417-L333	XEON X5680 6C/12T 3.33G 12MB	Intel® Xeon® processor X5680 (6C/12T, 3.33 GHz, SLC: 4 x 256 KB, TLC: 12 MB, Turbo: 1/1/1/1/2/2, 6.4 GT/s, Mem bus: 1333 MHz, 130 W) inkl. Kühlkörper		XEON					0,00	2830,20	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5109901-9465.jpg	14.6.10 00:00:00	 		0	0	0	1,00	999	0	0	N	19030305	43201503	84733020	10102048	DE
Multimedia	Audio & Sound	Lautsprecher	Fujitsu Technology Solutions	07701F4	S26391-F7128-L500	SOUNDSYSTEM DS P2100 TUBE	Mit dem leistungsstarken ¿¿ SOUND TUBE Woofer ausAluminium erhalten Sie einen fetten 22-Watt-Bass ohne Kompromisse. Die akustische Gesamtleistung Satellitenlautsprecher im Golfballdesign übertrifft alles! Stereo/Sub 2.1/ 50 Watt/ RMS/ Farbe: schwarz		NMS					74,00	65,80	0,00			V	22	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/07701F4.pdf	http://www.ingrammicro.de/jpg/07701F4.jpg	15.6.10 00:00:00	4049699285981		0,08	0,31	0,2	1,46	999	10	0	Y	19020501	43211607		10030404	DE
Eingabegeräte	Tastaturen	USB	Fujitsu Technology Solutions	07701F5	S26381-K562-L420	KEYBOARD KB910 BACKLIGHT	Keyboard KB910 Deutsches Layout, Hintergrundbeleuchtete Tasten, Leuchtstärke in 3 Stufen einstellbar spritzwasser resistent. Tastenleiste mit 12 Hotkeys, schwarz mit silberfarbenen Rand. Rote LED, Leitung 1.8 m USB		NMS					0,00	35,00	0,00			V	80	30.1.11 01:10:36		 	http://www.ingrammicro.de/pdf/07701F5.pdf	http://www.ingrammicro.de/jpg/07701F5.jpg	15.6.10 00:00:00	4049699264009		0,04	0,49	0,24	1,30	17	6	48	Y	19020402	43211706		10150301	DE
Zubehör	Notebooks	Laufwerke (intern)	Fujitsu Technology Solutions	07701Q3	S26391-F515-L100	BLU-RAY TRIPLE WRITER	für Celsius H700/ Bay Modul, BD lesen/schreiben + DVD lesen/schreiben + CD lesen/schreiben		MSD					0,00	417,70	0,00			A	0	30.1.11 01:10:36		 			23.6.10 00:00:00	4049699335303		0,2	0,24	0,22	0,52	999	0	0	N	19039002	32130000	84717030	10101433	DE
Computersysteme	Personal Computer	Business (Thinclient)	Fujitsu Technology Solutions	07702E6	S26361-K1360-V200	FUJITSU ZERO CLIENT D602	22IN 1000:1 250CD/M2             IN		NMS				36	809,00	588,00	588,00	31.3.11 00:00:00	Sell-Out	V	2	30.1.11 01:10:36		 	http://pdfs.icecat.biz/pdf/25210377-322.pdf	http://images.icecat.biz/img/norm/high/4312353-8764.jpg	8.7.10 00:00:00	4049699269103		0,27	0,58	0,48	9,00	999	1	0	Y	19010105	43211506	84714900	10010310	CH
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702U7	FSP:GD3S60Z00CHPX1	SP 3YRVO SVC 4H AZ 5X9	F/ RX100 SERIES		MSD					783,00	681,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5769521-6633.jpg	8.7.10 00:00:00	 		0	0	0	1,00	999	0	0	N	25151705	32130000	49119900	10101408	CH
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702U8	FSP:GA3C00Z00CHNEP	WARRANTY-EXPANSION UP TO 3Y OS	F/ LIFEBOOK AH530		MSD					138,00	120,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5895486-6788.jpg	8.7.10 00:00:00	4049699792045		0,01	0,23	0,16	0,02	41	0	0	N	25151705	32130000	49119900	10101408	CH
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702U9	FSP:GD3S60Z00CHPX2	SP 3YRVO SVC 4H AZ 5X10	F/ RX200 SERIES		MSD					576,00	501,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5769522-649.jpg	8.7.10 00:00:00	 		0	0	0	1,00	999	0	0	N	25151705	32130000	49119900	10101408	CH
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702V0	FSP:GA3S20Z00CHNBH	WARRANTY-EXPANSION UP TO 3Y OS	F/ CELSIUS H700		MSD					239,00	208,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5769520-7275.jpg	8.7.10 00:00:00	4049699609169		0,01	0,23	0,16	0,02	42	0	0	N	25151705	32130000	49119900	10101408	CH
Zubehör	Notebooks	Garantieerweiterungen	Fujitsu Technology Solutions	07702V1	FSP:GD3S60Z00CHWSN	SERVICE-EXPANSION UP TO 4 H R.	F/ CELSIUS M470		MSD					250,00	218,00	0,00			A	0	30.1.11 01:10:36		 		http://images.icecat.biz/img/norm/high/5769524-8994.jpg	8.7.10 00:00:00	 		0	0	0	1,00	999	0	0	N	25151705	32130000	49119900	10101408	CH
