Artikelnummer;Bezeichnung;;;;Artikelkategorie;Produktgruppe;EAN Code;Bruttogewicht;Bestand;Hersteller;HerstellerNr;NextDeliveryDate;jET Link;jET DataSheet
24662;Mouse Logitech M187 Cordless Mouse white USB, Nano Receiver, Black, Retail;;;;Tastaturen,Mäuse,Zubehör;Mäuse;5.09921E+12;0.12;5;Logitech;910-002740;;;
24663;"HDD Seagate ST9500423AS 500GB 2.5"" S-ATA 3.0Gb/s Momentus, 7200 rpm, 16MB Cache, Low Power,Disc Enc";;;;Festplatten;2.5 Zoll SATA HDDs;7.15663E+11;0.114;6;Seagate;ST9500423AS;;http://www.jet.ch/product_info.php?products_id=24663;
24664;Printer Brother MFC-9970CDW All-in-One Farblaser Print/Scan/Copy/FAX,USB,LAN,WLAN,ADF,Duplex;;;;Drucker und Zubehör;Laserdrucker;4.97777E+12;34.4;0;Brother;MFC9970CDW;08.05.2012;;
24665;DDR3 RAM SuperTalent 8 GB 1600MHz  CL9 CL9, PC3 12800, 512Mx8, with Black Heatsink;;;;SDRAM,DDRAM,USB-Sticks;DDRAM-3 Speicher;;0.062;4;SuperTalent;W1600UB8GM;;;
24666;.Batterie Knopfzelle CR2032 mit Lötfahne ;;;;Kabel, Stecker, Adapter,Batt..;Consumer Batterien;;0.005;0;;CR2032;;;
24667;Cable CAT5E Patchkabel U-UTP 0.5 Meter 100 Ohm, 2xRJ45, Cat5e zertifiziert, Farbe blau;;;;Karten,Wireless,Zubehör;Patchkabel,...;4.26013E+12;0.021;5;jET Schweiz IT AG;24667;;;
24668;"HDD WD Caviar Green WD10EZRX 1TB 3.5"" SATA 3 Green Drive, SATA 6Gb/s, 64MB Cache, Low noise";;;;Festplatten;3,5 Zoll SATA HDDs;7.18038E+11;0.453;8;Western Digital;WD10EZRX;;;
24669;DVD-Brenner SAMSUNG SH-222BB/RSMS SATA Retail BL 22xDVD+-R,6xDVD-RW, 8xDVD+RW,12xDVD+RDL;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80607E+12;0.953;0;Samsung;SH-222BB/RSMS;;;
24670;#Edelstahl Säulengrill, runde Bauform Gesamthöhe: ca. 85cm, Rostdurchmesser: ca. 45cm;;;;Trading-Artikel;Aktionsartikel;;5;0;;FI_17519;;;
24671;"HDD WD Caviar Green WD5000AZRX 500GB 3.5"" SATA 3 Green Drive, SATA 6Gb/s, 64MB Cache, Low noise";;;;Festplatten;3,5 Zoll SATA HDDs;7.18038E+11;0.435;5;Western Digital;WD5000AZRX;;;
24673;"HDD Seagate Barracuda ST3000DM001 3TB 3.5"" 7200rpm, SATA6Gb/s NCQ, 8.5ms, 64MB, Low Noise";;;;Festplatten;3,5 Zoll SATA HDDs;5.71105E+12;0.54;0;Seagate;ST3000DM001;;;
24674;PC-System jET Workstation Line W305 i7-2600, 8192MB, 2TB, DVDRW,DVD,QFX400-512MB;;;;PC-Systeme;Intel PC Systeme;;14;0;jET Schweiz IT AG;24674;;;
24675;Graphicscard Gainward GTX680 2048MB PCIe GTX 680, GDDR5, 256Bit, 1006/3004MHz,2xDVI,HMDI,DP;;;;Grafikkarten;NVidia Chipsatz PCI Express Karten;4.26018E+12;1.37;0;Gainward;426018336-2494;;;
24676;DVD-Brenner ext. SAMSUNG SE-S084D/TSB SlimBlack 8xDVD+RW,8xDVD+R, 24xCD-RW, Retail;;;;CD-Rom, DVDs, Brenner, Floppy;DVD Brenner;8.80899E+12;0.451;0;Samsung;SE-S084D/TSBS;;http://www.jet.ch/product_info.php?products_id=24676;
24677;#GÜDE Rasenmäher Big Wheel 508A Mulchen und Mähen Motorleistung 2.7kW/3.6PS;;;;433;Trading-Artikel;Aktionsartikel;4.01567E+12;36.1;0;;GD_94147;;
